ad,á,à,a
āla,ala,aile,ala
diaeta,dieta,diète,dieta
aenigma,enigma,ánigme,enigma
aqua,agua,eau,acqua
merulus,merlon,merlon,mèrlo
alter,otro,autre,altro
umbra,sombrero,sombre,ombrèlla
ante,antes,avant,davanti
ineptus,inepto,inepte,inetto
ars,arte,art,arte
arithmetica,arismética,arithmétique,aritmetica
armō,armar,armer,armare
arca,arca,arche,arca
arcus,arco,arc,arco
ardor,ardor,ardeur,ardore
audiō,oir,ouïr,udire
auctor,autor,auteur,autore
aurum,oro,or,oro
bucca,boca,bouche,boccaccia
bullio,bullir,bouillir,bollire
faba,haba,fève,fava
barba,barba,barbe,barba
farīna,harina,farine,farina
battuō,batir,battre,battere
findo,hender,fendre,fendere
fidelis,fiel,fidèle,fedele
folium,hoja,feuille,foglia
flamma,llama,flamme,fiamma
furo,hurón,furet,furetto
fervor,hervor,ferveur,fervore
fiber,bibaro,bièvre,bevero
frīgo,frito,frit,fritto
burgus,burgo,bourg,borgo
fuī,fuí,fus,fui
fugiō,huir,fuir,fuggire
flāvus,blao,blue,biaro
focus,fuego,feu,fuoco
frons,frente,front,fronte
dē,de,de,da
decem,diez,dix,dieci
draco,dragón,dragon,dragóne
faciō,hacer,faire,fare
febris,fiebre,fièvre,febbre
fīlius,hijo,fils,figlio
fīlia,hija,fille,figlia
festum,fiesta,fête,festa
fūmō,humo,fumée,fumo
forīs,fuera,hors,fuori
in,en,en,in
novem,nueve,neuf,nove
arbor,arbol,arbre,albore
asinus,asno,âne,asino
esse,ser,être,essere
et,y,et,e
lac,leche,lait,latte
habeō,haber,avoir,avere
homo,hombre,homme,uomo
hodiē,hoy,hui,oggi
adprehendo,aprehender,apprendre,apprendere
vivo,vivo,vif,vivo
bōs,buey,bœuf,bove
filum,hilo,fil,filo
carus,caro,cher,caro
cado,caer,choir,cascare
canto,cantar,chanter,cantare
candela,candela,chandelle,candela
capto,cazar,chasser,caccia
caper,cabra,chèvre,capra
caput,cabo,chef,capo
clarus,claro,clair,chiaro
color,color,couleur,colore
credo,creer,croire,credere
castus,casto,chaste,castigare
clavis,llave,clef,chiave
contra,contra,contre,contro
costa,costa,côte,costa
quom,cuando,quand,quando
legūmen,legumbre,légume,legume
lectus,lecho,lit,letto
dēlēctābilis,deleitable,délectable,delettabile
laus,loar,louer,lodare
forma,horma,forme,forma
morior,morir,mourir,morire
marmor,mārmol,marbre,marmo
formica,hormiga,fourmi,formica
brevis,breve,bref,breve
musca,mosca,mosquito,mouche
neque,ni,ni,nè
niger,negro,noir,nero
nox,noche,nuit,notte
novus,nuevo,neuf,nuovo
octō,ocho,huit,otto
oculus,ojo,œil,occhio
operarius,obrero,ouvrier,operaio
ostrea,ostra,huître,ostrica
ōvum,huevo,œuf,uovo
auris,oreja,oreille,orecchio
pēs,pie,pied,piede
pīnus,piña,pin,pino
culina,cocina,cuisine,cucina
complementum,cumplimiento,compliment,complimento
palea,paja,paille,paglia
approbo,aprobar,approuver,approvare
probo,probar,prouver,provare
petra,piedra,pierre,pietra
pilus,pelo,pelage,pelo
pelagus,archipielago,archipelague,arcipelago
plāga,llaga,plaie,piaga
applico,aplicar,appliquer,applicare
pluo,llover,pleuvoir,piovere
bibō,beber,boire,bevere
possum,poder,pouvoir,potere
prātum,prado,prato,beffroi
rota,rueda,roue,ruota
rūminō,rumiar,ruminer,ruminare
arcticus,arctico,arctique,artico
sāl,sal,sel,sale
sanus,sano,sain,sano
sapio,saber,savoir,sapere
sī,si,si,se
sēminō,sembrar,semer,seminare
consilium,consejo,conseil,consiglio
adsilio,asalto,assaut,assalto
septem,siete,sept,sette
sortior,asortir,assortier,assortire
caelum,cielo,ciel,cielo
calceus,calcetín,chaussure,calzatura
nervus,nervio,nerf,nervo
salus,salud,salut,salute
spatha,espada,épée,spada
spina,espina,épine,spina
frigidus,frio,froid,freddo
assisto,asistir,assister,assistere
tēctum,techo,toit,tetto
atomus,átomo,atome,atomo
attendo,atender,attendere,attendere
attestor,atestar,attester,attestare
vigilia,vela,éveiller,vedetta
arteria,arteria,artère,arteria
transverto,través,travers,attraverso
