index,Cosine Similarity
"('homo', 'filius')",0.22449084
"('homo', 'dominus')",0.077146634
"('homo', 'caelum')",0.09512085
"('homo', 'discipuli')",-0.1312464
"('homo', 'pater')",0.361122
"('homo', 'regnum')",0.30194733
"('homo', 'deus')",0.48479712
"('homo', 'bonus')",0.58482903
"('homo', 'multus')",0.32380867
"('homo', 'dies')",0.08033162
"('homo', 'magnus')",0.26784167
"('homo', 'domus')",0.032133225
"('homo', 'filii')",0.010869905
"('homo', 'manus')",0.04675214
"('homo', 'terra')",0.015888512
"('homo', 'tempus')",-0.12647133
"('homo', 'populus')",-0.04061368
"('homo', 'propheta')",0.008232323
"('homo', 'scribae')",-0.14800157
"('homo', 'servus')",0.42080125
"('homo', 'frater')",0.38339725
"('homo', 'hora')",-0.05023534
"('homo', 'rex')",0.13805279
"('homo', 'templum')",0.06345834
"('filius', 'homo')",0.22449084
"('filius', 'dominus')",0.36423922
"('filius', 'caelum')",0.28456318
"('filius', 'discipuli')",-0.044103153
"('filius', 'pater')",0.2265828
"('filius', 'regnum')",-0.001339905
"('filius', 'deus')",0.12368559
"('filius', 'bonus')",0.26460305
"('filius', 'multus')",0.18361615
"('filius', 'dies')",-0.11545119
"('filius', 'magnus')",0.26433057
"('filius', 'domus')",0.006592784
"('filius', 'filii')",0.25156027
"('filius', 'manus')",0.22728088
"('filius', 'terra')",0.3460495
"('filius', 'tempus')",0.002107069
"('filius', 'populus')",-0.029151209
"('filius', 'propheta')",0.1459286
"('filius', 'scribae')",-0.06870584
"('filius', 'servus')",0.28229526
"('filius', 'frater')",0.21066043
"('filius', 'hora')",0.16696632
"('filius', 'rex')",0.40770358
"('filius', 'templum')",0.3895837
"('dominus', 'homo')",0.077146634
"('dominus', 'filius')",0.36423922
"('dominus', 'caelum')",0.2377564
"('dominus', 'discipuli')",0.13156256
"('dominus', 'pater')",0.1801498
"('dominus', 'regnum')",-0.08859135
"('dominus', 'deus')",0.059217457
"('dominus', 'bonus')",0.09338418
"('dominus', 'multus')",-0.0197195
"('dominus', 'dies')",0.08755222
"('dominus', 'magnus')",-0.009591021
"('dominus', 'domus')",-0.05231125
"('dominus', 'filii')",0.044828467
"('dominus', 'manus')",-0.023530016
"('dominus', 'terra')",-0.25919983
"('dominus', 'tempus')",0.20390736
"('dominus', 'populus')",-0.04275683
"('dominus', 'propheta')",-0.30781117
"('dominus', 'scribae')",0.0012984648
"('dominus', 'servus')",0.7425623
"('dominus', 'frater')",0.28407758
"('dominus', 'hora')",0.3821028
"('dominus', 'rex')",0.22066826
"('dominus', 'templum')",-0.11689679
"('caelum', 'homo')",0.09512085
"('caelum', 'filius')",0.28456318
"('caelum', 'dominus')",0.2377564
"('caelum', 'discipuli')",0.17736655
"('caelum', 'pater')",0.16365497
"('caelum', 'regnum')",0.13564266
"('caelum', 'deus')",0.2006155
"('caelum', 'bonus')",0.3749074
"('caelum', 'multus')",0.27063796
"('caelum', 'dies')",0.081000164
"('caelum', 'magnus')",0.1569184
"('caelum', 'domus')",0.24022275
"('caelum', 'filii')",-0.071770534
"('caelum', 'manus')",0.019750975
"('caelum', 'terra')",0.39986986
"('caelum', 'tempus')",-0.0067231506
"('caelum', 'populus')",0.2139197
"('caelum', 'propheta')",-0.024595484
"('caelum', 'scribae')",0.06817469
"('caelum', 'servus')",0.25153616
"('caelum', 'frater')",-0.12081424
"('caelum', 'hora')",0.0651287
"('caelum', 'rex')",0.20785165
"('caelum', 'templum')",0.21286477
"('discipuli', 'homo')",-0.1312464
"('discipuli', 'filius')",-0.044103153
"('discipuli', 'dominus')",0.13156256
"('discipuli', 'caelum')",0.17736655
"('discipuli', 'pater')",-0.17472784
"('discipuli', 'regnum')",0.1887419
"('discipuli', 'deus')",-0.12463624
"('discipuli', 'bonus')",-0.08704071
"('discipuli', 'multus')",0.26265696
"('discipuli', 'dies')",0.25995293
"('discipuli', 'magnus')",0.45865935
"('discipuli', 'domus')",-0.18890831
"('discipuli', 'filii')",-0.18130444
"('discipuli', 'manus')",0.13215935
"('discipuli', 'terra')",0.029427405
"('discipuli', 'tempus')",0.15422292
"('discipuli', 'populus')",-0.043926105
"('discipuli', 'propheta')",-0.0016953573
"('discipuli', 'scribae')",0.50088954
"('discipuli', 'servus')",0.023150763
"('discipuli', 'frater')",0.07297467
"('discipuli', 'hora')",0.4384641
"('discipuli', 'rex')",0.17351615
"('discipuli', 'templum')",0.2498031
"('pater', 'homo')",0.361122
"('pater', 'filius')",0.2265828
"('pater', 'dominus')",0.1801498
"('pater', 'caelum')",0.16365497
"('pater', 'discipuli')",-0.17472784
"('pater', 'regnum')",0.2769757
"('pater', 'deus')",0.38800344
"('pater', 'bonus')",0.58444357
"('pater', 'multus')",0.09077064
"('pater', 'dies')",0.07193676
"('pater', 'magnus')",0.037449963
"('pater', 'domus')",0.30338615
"('pater', 'filii')",0.25079042
"('pater', 'manus')",0.2339617
"('pater', 'terra')",0.20382807
"('pater', 'tempus')",-0.22359464
"('pater', 'populus')",0.028066505
"('pater', 'propheta')",-0.14952731
"('pater', 'scribae')",-0.17532097
"('pater', 'servus')",0.44428355
"('pater', 'frater')",0.3587297
"('pater', 'hora')",0.11954044
"('pater', 'rex')",-0.0395054
"('pater', 'templum')",0.03055418
"('regnum', 'homo')",0.30194733
"('regnum', 'filius')",-0.001339905
"('regnum', 'dominus')",-0.08859135
"('regnum', 'caelum')",0.13564266
"('regnum', 'discipuli')",0.1887419
"('regnum', 'pater')",0.2769757
"('regnum', 'deus')",0.24288581
"('regnum', 'bonus')",0.2979096
"('regnum', 'multus')",0.26672503
"('regnum', 'dies')",0.16595629
"('regnum', 'magnus')",0.407718
"('regnum', 'domus')",0.29669845
"('regnum', 'filii')",0.23628692
"('regnum', 'manus')",0.022575308
"('regnum', 'terra')",0.06735103
"('regnum', 'tempus')",-0.006826639
"('regnum', 'populus')",0.18965957
"('regnum', 'propheta')",0.18548298
"('regnum', 'scribae')",0.1923818
"('regnum', 'servus')",0.0066193007
"('regnum', 'frater')",-0.10401922
"('regnum', 'hora')",0.23700972
"('regnum', 'rex')",0.08699789
"('regnum', 'templum')",0.18913886
"('deus', 'homo')",0.48479712
"('deus', 'filius')",0.12368559
"('deus', 'dominus')",0.059217457
"('deus', 'caelum')",0.2006155
"('deus', 'discipuli')",-0.12463624
"('deus', 'pater')",0.38800344
"('deus', 'regnum')",0.24288581
"('deus', 'bonus')",0.7913612
"('deus', 'multus')",0.47415972
"('deus', 'dies')",-0.04173299
"('deus', 'magnus')",0.21636824
"('deus', 'domus')",0.22432107
"('deus', 'filii')",0.16624421
"('deus', 'manus')",0.10728619
"('deus', 'terra')",0.17070688
"('deus', 'tempus')",0.13413435
"('deus', 'populus')",0.33999813
"('deus', 'propheta')",0.25963682
"('deus', 'scribae')",0.077226385
"('deus', 'servus')",0.2905097
"('deus', 'frater')",0.18905221
"('deus', 'hora')",-0.16620065
"('deus', 'rex')",0.0660125
"('deus', 'templum')",0.22589341
"('bonus', 'homo')",0.58482903
"('bonus', 'filius')",0.26460305
"('bonus', 'dominus')",0.09338418
"('bonus', 'caelum')",0.3749074
"('bonus', 'discipuli')",-0.08704071
"('bonus', 'pater')",0.58444357
"('bonus', 'regnum')",0.2979096
"('bonus', 'deus')",0.7913612
"('bonus', 'multus')",0.52366763
"('bonus', 'dies')",0.08854084
"('bonus', 'magnus')",0.34973648
"('bonus', 'domus')",0.2201969
"('bonus', 'filii')",0.1945389
"('bonus', 'manus')",0.26234716
"('bonus', 'terra')",0.37996855
"('bonus', 'tempus')",0.10785535
"('bonus', 'populus')",0.32509947
"('bonus', 'propheta')",0.24001457
"('bonus', 'scribae')",0.057920195
"('bonus', 'servus')",0.36775523
"('bonus', 'frater')",0.3177785
"('bonus', 'hora')",-0.046592534
"('bonus', 'rex')",0.13918468
"('bonus', 'templum')",0.22769833
"('multus', 'homo')",0.32380867
"('multus', 'filius')",0.18361615
