index,Cosine Similarity
"('ego', 'tu')",0.51204747
"('ego', 'nos')",0.3301968
"('ego', 'cis')",0.024182461
"('ego', 'istud')",0.4184583
"('ego', 'qui')",-0.0993686
"('ego', 'quid')",0.1345418
"('ego', 'non')",0.13105147
"('ego', 'omnis')",-0.05523704
"('ego', 'multi')",0.22568217
"('ego', 'unus')",0.10640127
"('ego', 'duo')",-0.020006903
"('ego', 'magnus')",-0.026322447
"('ego', 'longus')",0.10795218
"('ego', 'minutus')",-0.0016937852
"('ego', 'femina')",0.045161046
"('ego', 'vir')",0.28016984
"('ego', 'persona')",0.14036089
"('ego', 'piscis')",-0.08219383
"('ego', 'avis')",-0.18383849
"('ego', 'canis')",-0.15366778
"('ego', 'pedis')",-0.13895144
"('ego', 'dryas')",0.09115015
"('ego', 'semen')",-0.07453844
"('ego', 'folium')",-0.08912099
"('ego', 'radix')",-0.13193253
"('ego', 'cortex')",-0.15689895
"('ego', 'cutis')",-0.20919463
"('ego', 'membrana')",-0.3257351
"('ego', 'sanguis')",-0.11966759
"('ego', 'os')",-0.13653527
"('ego', 'medulla')",-0.13945529
"('ego', 'ovum')",-0.13670525
"('ego', 'cornu')",-0.17309357
"('ego', 'cauda')",-0.3442092
"('ego', 'pluma')",0.04762245
"('ego', 'pilus')",-0.197227
"('ego', 'caput')",-0.12529466
"('ego', 'auris')",0.030337255
"('ego', 'oculus')",-0.15034966
"('ego', 'nasus')",-0.023921546
"('ego', 'gemma')",-0.19480704
"('ego', 'lingua')",-0.16874456
"('ego', 'unguis')",-0.3179859
"('ego', 'pes')",-0.10175631
"('ego', 'genu')",-0.15517236
"('ego', 'manus')",0.11411403
"('ego', 'uterus')",-0.0014084429
"('ego', 'monile')",-0.1824666
"('ego', 'pectora')",0.17901768
"('ego', 'cor')",0.00875058
"('ego', 'iecur')",-0.17167506
"('ego', 'bibere')",-0.047268495
"('ego', 'edere')",0.13461098
"('ego', 'mordeo')",0.18614796
"('ego', 'cautio')",0.09805965
"('ego', 'cognoscere')",0.14291598
"('ego', 'somnus')",-0.036646295
"('ego', 'funus')",0.08917767
"('ego', 'caedo')",0.15075555
"('ego', 'nare')",-0.11694643
"('ego', 'volare')",-0.21060172
"('ego', 'pontis')",0.11422737
"('ego', 'venire')",0.09704341
"('ego', 'lectus')",0.12832706
"('ego', 'sedere')",0.09843423
"('ego', 'stare')",0.0905057
"('ego', 'dare')",0.11000356
"('ego', 'inquam')",0.4091983
"('ego', 'sol')",-0.07025111
"('ego', 'mensis')",-0.09739265
"('ego', 'stella')",-0.036777504
"('ego', 'aqua')",-0.13998628
"('ego', 'pluvia')",-0.32741666
"('ego', 'lapis')",-0.09846504
"('ego', 'harena')",-0.22698538
"('ego', 'solum')",0.12576902
"('ego', 'nimbus')",-0.22718447
"('ego', 'fumus')",-0.067714274
"('ego', 'ignis')",-0.15993528
"('ego', 'ardere')",-0.12911879
"('ego', 'mons')",-0.058486857
"('ego', 'rubeus')",-0.20910041
"('ego', 'gramen')",-0.25631148
"('ego', 'flavo')",-0.050943803
"('ego', 'albus')",-0.03049902
"('ego', 'ater')",-0.17300476
"('ego', 'nox')",-0.08558564
"('ego', 'calidus')",-0.023327112
"('ego', 'gelu')",-0.13917656
"('ego', 'plenus')",0.05776061
"('ego', 'novus')",-0.16868263
"('ego', 'bonus')",0.0074134925
"('ego', 'circularis')",-0.16187619
"('ego', 'siccus')",-0.048713066
"('ego', 'nomen')",0.031616412
"('tu', 'ego')",0.51204747
"('tu', 'nos')",0.2970986
"('tu', 'cis')",0.084834084
"('tu', 'istud')",0.51273614
"('tu', 'qui')",-0.055684417
"('tu', 'quid')",0.13308369
"('tu', 'non')",0.09872758
"('tu', 'omnis')",-0.028618168
"('tu', 'multi')",0.0056725815
"('tu', 'unus')",-0.0073630773
"('tu', 'duo')",-0.1040868
"('tu', 'magnus')",0.095697545
"('tu', 'longus')",0.108877584
"('tu', 'minutus')",0.05756031
"('tu', 'femina')",0.0293094
"('tu', 'vir')",0.14691952
"('tu', 'persona')",0.12590039
"('tu', 'piscis')",-0.11629324
"('tu', 'avis')",-0.23295231
"('tu', 'canis')",-0.06114851
"('tu', 'pedis')",0.14448127
"('tu', 'dryas')",0.10228504
"('tu', 'semen')",-0.14121419
"('tu', 'folium')",-0.0064276904
"('tu', 'radix')",-0.07224617
"('tu', 'cortex')",-0.16031876
"('tu', 'cutis')",-0.19346274
"('tu', 'membrana')",-0.28250653
"('tu', 'sanguis')",-0.12815464
"('tu', 'os')",-0.021580724
"('tu', 'medulla')",-0.08279911
"('tu', 'ovum')",-0.062411398
"('tu', 'cornu')",0.04821462
"('tu', 'cauda')",-0.23809063
"('tu', 'pluma')",0.10564228
"('tu', 'pilus')",-0.09445311
"('tu', 'caput')",-0.08898771
"('tu', 'auris')",0.1338838
"('tu', 'oculus')",-0.038458668
"('tu', 'nasus')",0.10836772
"('tu', 'gemma')",-0.11588183
"('tu', 'lingua')",-0.10254556
"('tu', 'unguis')",-0.10336837
"('tu', 'pes')",-0.022675756
"('tu', 'genu')",0.077120915
"('tu', 'manus')",0.14234063
"('tu', 'uterus')",-0.044890806
"('tu', 'monile')",0.07760085
"('tu', 'pectora')",0.07779182
"('tu', 'cor')",-0.059922904
"('tu', 'iecur')",-0.13638827
"('tu', 'bibere')",-0.049406957
"('tu', 'edere')",0.029038586
"('tu', 'mordeo')",0.15698785
"('tu', 'cautio')",0.018373288
"('tu', 'cognoscere')",0.15006213
"('tu', 'somnus')",-0.074868105
"('tu', 'funus')",0.14005214
"('tu', 'caedo')",0.088271275
"('tu', 'nare')",-0.17829806
"('tu', 'volare')",-0.1544016
"('tu', 'pontis')",0.12697321
"('tu', 'venire')",0.08134876
"('tu', 'lectus')",0.12178609
"('tu', 'sedere')",0.1558059
"('tu', 'stare')",-0.00421343
"('tu', 'dare')",0.13744855
"('tu', 'inquam')",0.24256395
"('tu', 'sol')",-0.0016036518
"('tu', 'mensis')",-0.01847352
"('tu', 'stella')",-0.10803227
"('tu', 'aqua')",-0.013931632
"('tu', 'pluvia')",-0.074337885
"('tu', 'lapis')",-0.060516298
"('tu', 'harena')",-0.087901205
"('tu', 'solum')",0.13623777
"('tu', 'nimbus')",-0.13569757
"('tu', 'fumus')",0.031081697
"('tu', 'ignis')",-0.002416851
"('tu', 'ardere')",-0.01980345
"('tu', 'mons')",-0.10093847
"('tu', 'rubeus')",-0.13949764
"('tu', 'gramen')",-0.18289092
"('tu', 'flavo')",0.09465305
"('tu', 'albus')",-0.17674887
"('tu', 'ater')",0.0028309068
"('tu', 'nox')",-0.081883706
"('tu', 'calidus')",-0.057468288
"('tu', 'gelu')",0.019271694
"('tu', 'plenus')",0.12618327
"('tu', 'novus')",-0.07701626
"('tu', 'bonus')",0.15793149
"('tu', 'circularis')",-0.0646844
"('tu', 'siccus')",-0.10383184
"('tu', 'nomen')",-0.12552373
"('nos', 'ego')",0.3301968
"('nos', 'tu')",0.2970986
"('nos', 'cis')",0.24030732
"('nos', 'istud')",0.32085183
"('nos', 'qui')",-0.0059460774
"('nos', 'quid')",0.30845392
"('nos', 'non')",0.2409797
"('nos', 'omnis')",-0.02622699
"('nos', 'multi')",0.022327721
"('nos', 'unus')",0.042628985
"('nos', 'duo')",0.07643728
"('nos', 'magnus')",-0.056153715
"('nos', 'longus')",-0.076255314
"('nos', 'minutus')",-0.0059743375
"('nos', 'femina')",-0.10495293
"('nos', 'vir')",0.055252798
"('nos', 'persona')",0.18690225
"('nos', 'piscis')",-0.1462636
"('nos', 'avis')",-0.13627158
"('nos', 'canis')",-0.18532935
"('nos', 'pedis')",-0.059087314
"('nos', 'dryas')",-0.01985884
"('nos', 'semen')",-0.0813597
"('nos', 'folium')",-0.1539224
"('nos', 'radix')",-0.10703944
"('nos', 'cortex')",-0.045960054
"('nos', 'cutis')",-0.028297305
"('nos', 'membrana')",0.032756362
"('nos', 'sanguis')",-0.13707907
"('nos', 'os')",0.048286937
"('nos', 'medulla')",-0.07738051
"('nos', 'ovum')",-0.19508275
"('nos', 'cornu')",-0.057561312
