index,Cosine Similarity
"('ic', 'ðu')",0.18578635
"('ic', 'us')",-0.049001176
"('ic', 'he')",0.40926954
"('ic', 'ðæt')",-0.056435652
"('ic', 'ne')",0.2391743
"('ic', 'manig')",-0.045464016
"('ic', 'twegen')",-0.2180114
"('ic', 'micel')",-0.21752504
"('ic', 'lang')",0.059588358
"('ic', 'min')",0.13308796
"('ic', 'cwen')",0.07057685
"('ic', 'mann')",0.026887247
"('ic', 'fisc')",-0.038417894
"('ic', 'hund')",0.046602994
"('ic', 'treow')",0.14150107
"('ic', 'blæd')",0.081335165
"('ic', 'gelynd')",0.00069532543
"('ic', 'æg')",-0.107579574
"('ic', 'horn')",0.00041076913
"('ic', 'hær')",-0.12420512
"('ic', 'heafod')",0.009151699
"('ic', 'eare')",0.029496295
"('ic', 'eage')",0.07435698
"('ic', 'muþ')",0.22005916
"('ic', 'tunge')",0.021178044
"('ic', 'clea')",-0.04507768
"('ic', 'fot')",0.18635827
"('ic', 'cneow')",-0.11420794
"('ic', 'mund')",0.15499155
"('ic', 'sweora')",-0.26800096
"('ic', 'heorte')",0.13833795
"('ic', 'drincan')",0.09744978
"('ic', 'etan')",0.11869165
"('ic', 'bitan')",0.01734348
"('ic', 'seon')",-0.042148247
"('ic', 'gehiran')",0.041382298
"('ic', 'cunnan')",0.08280901
"('ic', 'swefan')",0.0052747875
"('ic', 'dead')",0.06291559
"('ic', 'fleogan')",0.016150393
"('ic', 'findan')",0.22479315
"('ic', 'cuman')",0.070009574
"('ic', 'licgan')",0.17328656
"('ic', 'sittan')",-0.01420705
"('ic', 'standan')",-0.040749896
"('ic', 'sæcgan')",0.027742404
"('ic', 'sunne')",0.06597477
"('ic', 'mona')",0.039933644
"('ic', 'steorra')",-0.09022275
"('ic', 'ea')",-0.12692648
"('ic', 'regn')",-0.12170231
"('ic', 'stan')",-0.020229176
"('ic', 'eorþe')",0.00034413487
"('ic', 'neowol')",0.20054315
"('ic', 'þrosm')",-0.09741773
"('ic', 'axe')",0.07925485
"('ic', 'bærnan')",-0.09207789
"('ic', 'beorg')",-0.16176856
"('ic', 'read')",-0.053604554
"('ic', 'grene')",-0.036992565
"('ic', 'geolo')",0.04292532
"('ic', 'hwit')",-0.23672113
"('ic', 'niht')",0.009506807
"('ic', 'wearm')",-0.24379672
"('ic', 'ceald')",-0.20547763
