index,Cosine Similarity
"('ic', 'ðu')",0.18578635
"('ic', 'us')",-0.049001176
"('ic', 'he')",0.40926954
"('ic', 'ðæt')",-0.056435652
"('ic', 'hwa')",0.25506863
"('ic', 'ne')",0.2391743
"('ic', 'eall')",0.08857638
"('ic', 'manig')",-0.045464016
"('ic', 'an')",-0.013008341
"('ic', 'twegen')",-0.2180114
"('ic', 'micel')",-0.21752504
"('ic', 'lang')",0.059588358
"('ic', 'min')",0.13308796
"('ic', 'cwen')",0.07057685
"('ic', 'mann')",0.026887247
"('ic', 'fisc')",-0.038417894
"('ic', 'fugol')",-0.11918413
"('ic', 'hund')",0.046602994
"('ic', 'treow')",0.14150107
"('ic', 'sæd')",-0.09153292
"('ic', 'blæd')",0.081335165
"('ic', 'rot')",0.09127969
"('ic', 'hyd')",-0.06496449
"('ic', 'flæsc')",0.096120834
"('ic', 'blod')",-0.19020957
"('ic', 'ban')",-0.085752055
"('ic', 'gelynd')",0.00069532543
"('ic', 'æg')",-0.107579574
"('ic', 'horn')",0.00041076913
"('ic', 'steort')",-0.009136008
"('ic', 'hær')",-0.12420512
"('ic', 'heafod')",0.009151699
"('ic', 'eare')",0.029496295
"('ic', 'eage')",0.07435698
"('ic', 'muþ')",0.22005916
"('ic', 'tunge')",0.021178044
"('ic', 'clea')",-0.04507768
"('ic', 'fot')",0.18635827
"('ic', 'cneow')",-0.11420794
"('ic', 'mund')",0.15499155
"('ic', 'cwiþ')",-0.09124497
"('ic', 'sweora')",-0.26800096
"('ic', 'bosm')",0.06998495
"('ic', 'heorte')",0.13833795
"('ic', 'drincan')",0.09744978
"('ic', 'etan')",0.11869165
"('ic', 'bitan')",0.01734348
"('ic', 'seon')",-0.042148247
"('ic', 'gehiran')",0.041382298
"('ic', 'cunnan')",0.08280901
"('ic', 'swefan')",0.0052747875
"('ic', 'dead')",0.06291559
"('ic', 'cwellan')",0.00053946674
"('ic', 'fleogan')",0.016150393
"('ic', 'findan')",0.22479315
"('ic', 'cuman')",0.070009574
"('ic', 'licgan')",0.17328656
"('ic', 'sittan')",-0.01420705
"('ic', 'standan')",-0.040749896
"('ic', 'gesellan')",-0.14564414
"('ic', 'sæcgan')",0.027742404
"('ic', 'sunne')",0.06597477
"('ic', 'mona')",0.039933644
"('ic', 'steorra')",-0.09022275
"('ic', 'ea')",-0.12692648
